,Junction,points
396,POINT (105.5803529407651 20.02640015764138),3.0
397,POINT (105.5640902125579 20.01611760909751),3.0
398,POINT (105.5257856831729 20.03361247356477),3.0
399,POINT (105.5218048375076 20.02217999101677),3.0
400,POINT (105.7383289729103 19.93785117142309),3.0
401,POINT (105.6011799190421 20.00897709167754),3.0
402,POINT (105.5833572790418 20.02339450504157),3.0
403,POINT (105.6444070181261 19.95956433717415),3.0
404,POINT (105.6554223367099 19.97372778271908),3.0
405,POINT (105.7070408434035 19.94584730854398),3.0
406,POINT (105.7128112054303 19.93720466727604),3.0
407,POINT (105.5465385771285 20.00333496186283),3.0
408,POINT (105.4755283597084 20.03923610732715),3.0
409,POINT (105.7346552213606 19.95156695609452),3.0
410,POINT (105.5815833715064 20.01453171433359),3.0
411,POINT (105.5264054034678 20.01096587569329),3.0
412,POINT (105.6483471008007 20.00670572593518),3.0
413,POINT (105.5833417346175 19.97793986202301),3.0
414,POINT (105.5918008763863 20.02032091208838),3.0
415,POINT (105.6868840163881 20.00113285079632),3.0
416,POINT (105.5840186862555 20.02183816709614),3.0
417,POINT (105.5797152332329 20.0606841350586),3.0
418,POINT (105.5475506704337 20.02627770332113),3.0
