,lines,shapely,length,start,end
2172,"LINESTRING (105.7604848493882 20.07999292881693, 105.7604835006897 20.07997408988813)","LINESTRING (105.7604848493882 20.07999292881693, 105.7604835006897 20.07997408988813)",2.08966158015,POINT (105.7604848493882 20.07999292881693),POINT (105.7604835006897 20.07997408988813)
2174,"LINESTRING (105.7608076438331 20.09663222500657, 105.7608083135953 20.09662864730333, 105.7608144689213 20.09660943520375)","LINESTRING (105.7608076438331 20.09663222500657, 105.7608083135953 20.09662864730333, 105.7608144689213 20.09660943520375)",2.62354424111,POINT (105.7608076438331 20.09663222500657),POINT (105.7608144689213 20.09660943520375)
2176,"LINESTRING (105.760872982777 20.07988878508444, 105.7608712747395 20.07988517938466)","LINESTRING (105.760872982777 20.07988878508444, 105.7608712747395 20.07988517938466)",0.437183893804,POINT (105.760872982777 20.07988878508444),POINT (105.7608712747395 20.07988517938466)
2178,"LINESTRING (105.7611752953502 20.16126380353843, 105.7611723411854 20.16123894708976)","LINESTRING (105.7611752953502 20.16126380353843, 105.7611723411854 20.16123894708976)",2.76815015123,POINT (105.7611752953502 20.16126380353843),POINT (105.7611723411854 20.16123894708976)
2181,"LINESTRING (105.7619529244556 20.07979144587805, 105.7619527905444 20.07979178410792)","LINESTRING (105.7619529244556 20.07979144587805, 105.7619527905444 20.07979178410792)",0.0399648682982,POINT (105.7619529244556 20.07979144587805),POINT (105.7619527905444 20.07979178410792)
2182,"LINESTRING (105.762090979124 20.08432039593261, 105.7620957616985 20.08432088955432)","LINESTRING (105.762090979124 20.08432039593261, 105.7620957616985 20.08432088955432)",0.503029765862,POINT (105.762090979124 20.08432039593261),POINT (105.7620957616985 20.08432088955432)
2183,"LINESTRING (105.7620957616985 20.08432088955432, 105.7620952360581 20.08432119230284, 105.7620946782055 20.08432142631201)","LINESTRING (105.7620957616985 20.08432088955432, 105.7620952360581 20.08432119230284, 105.7620946782055 20.08432142631201)",0.128186030653,POINT (105.7620957616985 20.08432088955432),POINT (105.7620946782055 20.08432142631201)
2188,"LINESTRING (105.7622299384443 20.09717347315281, 105.7622455571559 20.09717247477797)","LINESTRING (105.7622299384443 20.09717347315281, 105.7622455571559 20.09717247477797)",1.63665600363,POINT (105.7622299384443 20.09717347315281),POINT (105.7622455571559 20.09717247477797)
2189,"LINESTRING (105.7622612698559 20.0974109804119, 105.7622377428106 20.09741276462757)","LINESTRING (105.7622612698559 20.0974109804119, 105.7622377428106 20.09741276462757)",2.46764054283,POINT (105.7622612698559 20.0974109804119),POINT (105.7622377428106 20.09741276462757)
2192,"LINESTRING (105.7622544627527 20.09774143244967, 105.7622581899088 20.09774154841803)","LINESTRING (105.7622544627527 20.09774143244967, 105.7622581899088 20.09774154841803)",0.38988069279,POINT (105.7622544627527 20.09774143244967),POINT (105.7622581899088 20.09774154841803)
2196,"LINESTRING (105.7622569890424 20.07997350529005, 105.7622679302052 20.07996294192596, 105.7622723421648 20.07995747585289)","LINESTRING (105.7622569890424 20.07997350529005, 105.7622679302052 20.07996294192596, 105.7622723421648 20.07995747585289)",2.39643209313,POINT (105.7622569890424 20.07997350529005),POINT (105.7622723421648 20.07995747585289)
